"image_1_text","image_2_text","database","image","number"
"kids playing basketball in front of a house with a lamp hanging on the wall","kids playing basketball in their front yard","wolfe1","image-040","7"
" and old red building behind a creek that has lots of rocks on the land and in the water","an old red building behind a creek that has lots of rocks on the land and few in the water","wolfe1","image-041","1"
"a mossy, marsh like scene with mountains and blue sky in the background as well as a red, farmlike facility, with one of the marsh rocks in the foreground","a marshlike, rocky setting with water and moutains and a red, farmlike facility in the background and a swatch of lake and plant growth in the foreground","wolfe1","image-041","2"
"a landscape photo of a red building and a lake with 1 rock in the lake","a landscape photo of a red building and a lake without any rocks in the lake ","wolfe1","image-041","3"
"a red brick factory is next to a small pond and wild area, with a rock sticking out of the pond.","a red brick factory is next to a small pond and wild area, with the pond being clear of rocks.","wolfe1","image-041","4"
"wasteland with a red brick factory in the distance. the terrain and lake is riddled with rocks","wasteland with a red brick factory in the distance. the terrain is riddled with rocks","wolfe1","image-041","5"
"a factory lies off in the distance, next to a pond with large rocks both in and out of the water","a factory lies off in the distance, next to a pond with large rocks out of the water","wolfe1","image-041","6"
"a factory near a lake with rocks","a factory near a lake with no rocks in it","wolfe1","image-041","7"
" a white rock floating in a blue lake","some blue water floating in a lake","wolfe1","image-041","8"
"each of the arches at the top of the building have spires above them","each of the arches at the top of the building have spires above them except one.","wolfe1","image-042","1"
"many people crowd a street in front of a huge catherdral with 5 front points on the top.","many people crowd a street in front of a huge catherdral with 4 front points on the top.","wolfe1","image-042","2"
"a palace is on display with three points on the top closest to the crowd below","a palace is on diplay with two points on the top closest to the crowd below","wolfe1","image-042","3"
"a crowd of people walk in front of a fancy temple or church, the top decorated with statues and spires.","a crowd of people walk in front of a fancy temple or church, the top decorated with statues and spires, though one is missing","wolfe1","image-042","4"
"there is a statue on top of the church","there is no statue","wolfe1","image-042","5"
"a crowd is in front of an ornate church with statues at the top of each arch on its facade","a crowd is in front of an ornate church with statues at the top of each arch on its facade except for the leftmost arch","wolfe1","image-042","6"
"people in front of a temple with several spires","people in front of a temple with a missing spire","wolfe1","image-042","7"
"a waiting room with a few seats and a table decorated with a white vase","a waiting room with a few seats and a table","wolfe1","image-043","1"
"a modern living room featuring a white vase on a table","a modern living room ","wolfe1","image-043","2"
"a minimalistic living room with a vase on the floor. ","a minimalistic living room with a carpet and nothing on the floor. ","wolfe1","image-043","3"
"a decorated room with a vase on the right side on the floor","a decorated room with no small vase on the right side on the floor.","wolfe1","image-043","4"
"there is a very modern looking room with minimalist furniture and sleek painting on the wall. there is a small white vase in the right cornern","there is a very modern looking room with minimalist furniture and sleek paintings on the wall. there is not small white vase in the right corner.","wolfe1","image-043","5"
"9 small barns are outside beneath a vibrant pink sky against a mountain backdrop.","8 small barns are outside beneath a vibrant pink sky against a mountain backdrop.","wolfe1","image-044","1"
"a beautiful red sunset sith tiny houses dotting the light green covering of grass and snow tipped mountains in the back and one tiny house on the left","a sunset with soft green grass covering in the foreground, snow tipped mountains and a lake in the foreground and a spot of green grass on the left of some of the houses","wolfe1","image-044","2"
"a landscape with seven buildings on a lush green lawn with mountains in the background","a landscape with six buildings on a lush green lawn with mountains in the background","wolfe1","image-044","3"
"seven small barns adorn a grassy countryside that rests near a lake, rolling hills, and a large mountain","six small barns adorn a grassy countryside that rests near a lake, rolling hills, and a large mountain","wolfe1","image-044","4"
"a large area of hilly farmland in front of a mountain range with 7 small bushes in the closest field.","a large area of hilly farmland in front of a mountain range with 6 small bushes in the closest field. ","wolfe1","image-045","1"
"a freshly mowed plain next to a vineyard, adorned with seven rolls of grass","a freshly mowed plain next to a vineyard, adorned with six rolls of grass","wolfe1","image-045","2"
"a field in front of a scene of hills and mountains with seven rolls of hay next to some trees","a field in front of a scene of hills and mountains with six rolls of hay next to some trees","wolfe1","image-045","3"
"farmland at sunset with 7 hay stacks.","farmland at sunset with 6 hay stacks.","wolfe1","image-045","4"
"a bale of hay is rolled up next to several other bales of hay in a field","a field has several bales of hay rolled up and waiting to be used","wolfe1","image-045","5"
"an empty field with 7 bails of hay scatterered around.","an empty field with 6 bails of hay scattered around.","wolfe1","image-045","6"
"people gathered around a spot where they will be digging with a white container sitting in front of one man.","people gathered around a spot where they will be digging.","wolfe1","image-046","1"
"diggers with white box","diggers discussing dig site","wolfe1","image-046","2"
"a man with a shovel talking to a group of people. in he lower corner there is a whte bucket.","a man with a shovel talking to a group of people.","wolfe1","image-046","3"
"a group of adults are having a discussion by a ditch in a green field and there is a white triangular dish or container on the ground near one of the men","a group of adults are having a discussion by a ditch in a green field and one of the men is speaking while holding a shovel","wolfe1","image-046","4"
"a small white bin is on the ground beside a group of people who look like they are about to start a project","there is grass around a group of people standing around about to start a project involving a shove","wolfe1","image-046","5"
"a white object sticks out of the ground as locals are gathered to aid in digging a hole in the ground","locals gather to aid in digging a hole in the ground","wolfe1","image-046","6"
"a group of people are listening to a man talk who is working holding a shovel and is putting dirt into a white bucket.","a group of people are listening to a man who is working holding a shovel.","wolfe1","image-046","7"
"in front of the man with a black jacket on, there is a white object on the ground","in front of the man with a blck jacket on, there is nothing on the ground","wolfe1","image-046","8"
"people shoveling gravel outside of a home with a toy in the gravel","people shoveling gravel outside of a home","wolfe1","image-047","1"
" people digging in a yard with a small indistinguishable object near them","people digging in a yard with no small indistinguishable objects near them","wolfe1","image-047","2"
"a group of men shoveling gravel. there is a yellow object next to a wooden stake.","a group of men shoveling gravel. there is only a wooden stake. ","wolfe1","image-047","3"
"there is one small thing in the yellow box ","there is nothing in the yellow box","wolfe1","image-047","4"
"people are shoveling dirt in a yard with a single flower in it","people are shoveling dirt a yard made of only dirt","wolfe1","image-047","5"
"men spreading gravel with an orange object near the shovel ","men spreading gravel without an orange object near the shovel","wolfe1","image-047","6"
"multiple people shoveling and one finds an item in the dirt.","multiple people shoveling dirt.","wolfe1","image-047","7"
"a group of young black children pose for a group photo. behind them is a river that leads to a lake. ","a group of you black children pose for a group photo. behind them is a lake","wolfe1","image-048","1"
"kids on the side of the house after playing in the standing water","kinds on the side of the house after playing in the grass","wolfe1","image-048","2"
"a group of african american kids with grass that has a tiny bit of water in it in the background","a group of african american kids with dry grass in the background","wolfe1","image-048","3"
"a group of boys relax in the grass in front of a stone by a building","a group of boys relax in the grass by a building","wolfe1","image-048","4"
"a tropical beach scene with a blue sky background and hamock on a white beach with a palm frond in the upper left corner of some palm trees scattered around","some palm frond pieces on one of several palm trees on a white beach with a hammock hanging above the sand","wolfe1","image-049","1"
"a hammock between two palm trees by the ocean, while a palm leaf block the sun","a hammock between two palm trees by the ocea","wolfe1","image-049","2"
"coconut trees are placed in the beach and one coconut  leaves placed in the yellow box ","coconut trees are placed in the beach and one coconut leaves with inflorescence is not  there in the yellow box","wolfe1","image-049","3"
"a beach scene with a palm tree. one of the palm fronds is highlighted. ","a beach scene with a palm tree. one of the palm fronds is missing. ","wolfe1","image-049","4"
"a beach alongside a blue ocean where, in the sand, a hammock hands off of two palm trees, with the sn shine obscured by the leaves","a beach alongside a blue ocean where, in the sand, a hammock hangs off of two palm trees, and the sun shining brightly","wolfe1","image-049","5"
"a hammock is strung between two trees on a tropical island, with leaves dangling down from another tree, blocking the sun.","a hammock is strung between two trees ona tropical island, with the sun shining beneath another tree.","wolfe1","image-049","6"
"a class room with three people in front lecturing with stacked up items in the corner behind them.","a classroom with three people in the front talking with a bare corner behind them.","wolfe1","image-050","1"
"three adults stand before a small classroom of students and there is a large stack of papers and-or files in the background behind one of the teachers","three adults stand before a small classroom of students and there is a projector screen behind the three instructors","wolfe1","image-050","2"
"several people at desks facing three speakers in the front of a classroom, several white boxes are stacked behind the speakers on the left","several people at desks facing three speakers in the front of a classroom","wolfe1","image-050","3"
"in the corner of the room beside the door, there is a stack of papers","in the corner of the room there is desk without anything on it","wolfe1","image-050","4"
" people racing dirt bikes on a dirt track with people standing behind a fence watching one man is in a yellow shirt","people racing dirt bikes on a dirt track with people standing behind a fence watching one man is wearing a blue shirt","wolfe1","image-076","1"
"several participants participate in a motorcross race. one member of the crowd is wearing a yellow shirt.","several partipants are in a motorcross race. one member of the crowd is wearing an aqua green shirt.","wolfe1","image-076","2"
"guy in yellow shirt watching the bikes","guy in green shirt watching the bikes","wolfe1","image-076","3"
"spectators watching a dirt bike race with one of the spectators wearing a yellow shirt.","spectators watching a dirt bike race with one of the spectators wearing a blue shirt.","wolfe1","image-076","4"
"bystanders including one wearing a yellow shirt observe a dirtbike race","bystanders including one wearing a green shirt observe a dirtbike race ","wolfe1","image-076","5"
"a dirtbike race with several people in the audience, one is wearing a yellow shirt","a dirt bike race with several people watching, the person wearing a yellow shirt is now wearing a green shirt.","wolfe1","image-076","6"
"two men one in yellow shirt watch motorcross biking","two men one in a green shirt watch motorcross biking","wolfe1","image-076","7"
"some men in hats watching a dirt bike race","some men in hats watching a dirt bike race","wolfe1","image-076","8"
"there is a dirt track that has bmx riders racing on it. in the back there are two men among many watching the race. the two men have on white and yellow shirts.","there is a dirt tract that has bmx riders racing on it. in the back there are two men among many watching the race. the two men have on white and green shirts.","wolfe1","image-076","9"
"a group of people and an american flag in front of a church, a woman is holding a blue item","a group of people and an american flag in front of a church, a woman is holding a yellow item","wolfe1","image-077","1"
"there are a group of people, including police officers, standing in front of a large brick mansion. a woman is holding a blue child's jacket.","there is a group of people standing in front of a large brick mansion. some  of the people are police officers. there is a woman holding a child' yellow jacket.","wolfe1","image-077","2"
"people by a castle and holding a flag with a person caring a blue jacket","people by a castle and holding a flag and one person holding a yellow jacket","wolfe1","image-077","3"
"people standing on grass in front of a castle next to an american flag with a woman holding a blue jacket","people standing on grass in front of a castle next to an american flag with a woman holding a yellow jacket","wolfe1","image-077","4"
"a group of people walking down the street with a gentleman wearing a blue striped shirt. ","a group of people walking down the street with a gentleman wearing a green striped shirt","wolfe1","image-078","1"
"group of people following a tour guide. one man with a blue striped shirt looks off at one of the local clothing stores.","group of people following a tour guide. one man with a green striped shirt looks off at one of the local clothing stores.","wolfe1","image-078","2"
"people walking down the street with a man in a blue striped shirt looking at passing storefronts","people walking down the street with a man in a green striped shirt looking at passing storefronts","wolfe1","image-078","3"
"group of people and man in blue shirt","group of people and man in green shirt","wolfe1","image-078","4"
"a man walking in a crowd wearing a blue stripped shirt","a man walking in a crowd wearing a green stripped shirt","wolfe1","image-078","5"
"people walking in mall with a red store sign upstairs","people walking in mall with a pink store sign upstairs","wolfe1","image-079","1"
"a red sign is displayed in a busy shopping mall","a purple sign is displayed in a busy shopping mall","wolfe1","image-079","2"
"the inside of a large mall where people walk around shopping in different stores. one clothing store on the second floor has a red dress on display","the inside of a large mall where people walk around shopping in different stores.one clothing store on the second floor has a purple dress on display","wolfe1","image-079","3"
"a mall interior, with people standing around, and a red dress visible in a storefront window on the upper floor","a mall interior, with people standing around, and a purple dress visible in a storefront window on the upper floor","wolfe1","image-079","4"
"the inside of a mall with someone standing infront of a red banner.","the inside of a mall with someone standing infront of a purple banner.","wolfe1","image-079","5"
"a mall with storefronts with red in the windows","a mall with storefronts with purple in the windows","wolfe1","image-079","6"
"people outdoors with green umbrella","people outdoors with red umbrella","wolfe1","image-080","1"
"a crowded outdoor cafe area, with people standing and sitting, and a green awning","a crowded outdoor cafe area, with people standing and sitting, and a red awning","wolfe1","image-080","2"
"patrons sit near an outdoor bar, with a green umbrella nearby","patrons sit near an outdoor bar, with a purple umbrella nearby","wolfe1","image-080","3"
"people congurgating at a outdoor restarurant. there is a table with a green umbrella.","people congrugating at a outdoor restaurant. there is a table with a pink umbrella.","wolfe1","image-080","4"
"people are ordering food at outdoor counters and eating outside, and one of the dining tables has a green umbrella","people are ordering food at outdoor counters and earing outside, and one of the dining tables has a purple umbrellanum_enter","wolfe1","image-080","5"
"two women wearing black shirts are sitting outside in white plastic chairs. there is a red magazine sitting on a table in front of them","two women wearing black shirts are sitting outside in white plastic chairs, there is a blue magazine on a table in front of them","wolfe1","image-081","1"
"2 women talking with papers with red margins on table","2 women with papers with blue margins on table","wolfe1","image-081","2"
"two women sitting in plastic chairs at the park with their backpacks and a red folder on a wooden table.","two women sitting in plastic chairs at the park with their backpacks and a blue folder on a wooden table.","wolfe1","image-081","3"
" two women outside in white chairs with two pink notebooks on the table infront of them.","two women outside in white chairs with only on pink notebook in front of them. ","wolfe1","image-081","4"
"papers and a pink folder on a table with other items in front of two women looking at reports - they are outdoors","papers and a blue folder on a table with other items in front of two women looking at reports - they are outdoors","wolfe1","image-081","5"
"people playing soccer with one wearing blue shoe.","people playing soccer with one person wearing one green shoe.","wolfe1","image-082","1"
"a soccer player with a blue left cleat chases another player for the ball","a soccer player with a green left cleat chases another player for the ball","wolfe1","image-082","2"
"a soccer play with one red and one torquoise shoe rens after another toward the ball","a soccer play with one red and one green shoe runs after another toward the ball","wolfe1","image-082","3"
"two athletes playing soccer, one of them wearing a pink shoe and a blue one","two athletes playing soccer, one of them wearing a pink shoe and a green one","wolfe1","image-082","4"
"several students are working together at a table in a classroom. behind them is a bulletin board with a red square on it","several students are working together at a table in a classroom. behind them there is a bulletin board with a yellow square on it. ","wolfe1","image-083","1"
"students using computers with a red object in the background","students using computers with a yellow object in the nbackground","wolfe1","image-083","2"
"students working on their laptops and textbooks. the bulletin board behind them has a red poster on the bottom ","students working on their laptops and textbooks. the bulletin board behind them has a yellow poster on the bottem.","wolfe1","image-083","3"
"students are siting in the classroom at their back one red drawing placed ","students are siting in the classroom at their back one yelow drawing placed","wolfe1","image-083","4"
"six students are in class and there is a red decoration over the right sholder of the second student. ","six students are in class and there is a yellow decoration over the right sholder of the second student","wolfe1","image-083","5"
"students work at a table in front of a bulletin board with a red decoration","students work at a table in front of a bulletin board with a yellow decoration ","wolfe1","image-083","6"
"there is a red peice of paper on the board behind the students","there is a yellow peice of paper on the board behind the students","wolfe1","image-083","7"
"one of eight adult hikers is fiddling with his red napsack as they all pause atop a hill","one of eight adult hikers is fiddling with his green napsack as they all pause atop a hill","wolfe1","image-084","1"
"a man with a red backpack rests with other hikers on the trail","a man with a green backpack rests with other hikers on the trail","wolfe1","image-084","2"
"a group of seven hikers with one man in a yellow shirt carrying a red back pack.","a group of seven hikers with one man in a yellow shirt carrying a green back pack. ","wolfe1","image-084","3"
"a group of young hikers in which one hiker is checking out something in his red backpack","a group of young ikers in whic one hiker is checking out something in his green backpack","wolfe1","image-084","4"
"hikers rest on the top of a mountain while a man gets something out of his red pack","hikers rest on the top of a mountain while a man gets something out of his gren pack","wolfe1","image-084","5"
"hikers climbing a mountain and a hiker with a yellow shirt is opening a red backpack.","hikers climbing a mountain and a hiker with a yellow shirt opening a green backpack","wolfe1","image-084","6"
"a hiker on a grassy mountain reaching into their red bag.","a hiker on a grassy mountain reaching into their green bag.","wolfe1","image-084","7"
"a boardwalk on a beach, including bicyclists, people eating, and a man with a red hat","a boardwalk on a beach, including bicyclists, people eating, and a man with a green hat","wolfe1","image-085","1"
"at an outdoor restaurant near the beach a man in a purple hat looks out towards the ocean. ","at an outdoor restaurant near the beach a man in a green hat looks out towards the ocean. ","wolfe1","image-085","2"
"people at the beach and man in red hat","people at the beach and man in green hat","wolfe1","image-085","3"
"kids ride bikes at the boardwalk at a beach while a man in a red cap watches them.","kids ride bikes at the boardwalk at a beach while a man in a green cap watches them.","wolfe1","image-085","4"
"several children are playing in a grass field together.the child furthest away is wearing a red shirt.","several children are playing in a grass frield toether. the child furthest away is wearing a purple shirt","wolfe1","image-086","1"
"child in red playing around","child in purple running around","wolfe1","image-086","2"
"children are playing in a grassy field while a kid in a red shirt sits behind them","children are playing in a grassy fiel while a kid in purple sits behind them","wolfe1","image-086","3"
"many boys are being in the scene one boy wearing red color t-shirt","many boys are being in the scene and one boy wearing purple color t-shirt","wolfe1","image-086","4"
"a boy in a red shirt plays with other children in a grassy field","a boy in a purple shirt plays with other children in a grassy field","wolfe1","image-086","5"
"a blue bowl sits on a table at garage sale ","a purple bowl sits on a table at a garage sale","wolfe1","image-087","1"
"a yard sale with two people working and one peron shopping. there is a blue item on the table","a yard sale with two people working and one person shopping, the same item is there in this image, but it is now purple instead of blue.","wolfe1","image-087","2"
"on the left of the table there is a blue container","on the left of the table there is a purple container","wolfe1","image-087","3"
"a woman browses a table at a yard sale, ignoring the blue plastic toy to her right on the table.","a woman browses a table at a yard sale, ignoring the purple plastic toy to her right on the table.","wolfe1","image-087","4"
"a woman carries a red cooler jug with a group of many children and adults while outside.","a woman carried a pink cooler jug with a group of many children and adults while outside.","wolfe1","image-088","1"
"a group of young children with two teachers on a day out. the teacher is holding a red cooler. ","a group of young children with two teachers on a day out, the teacher is holding a pink cooler. ","wolfe1","image-088","2"
"a lady carrying a red water jug.","a lady carrying a pink water jug.","wolfe1","image-088","3"
"a group of parents and children hold hands in a park, while one mom holds a red thermos","a group of parents and children hold hands in a park, while one mom holds a purple thermos","wolfe1","image-088","4"
"children and adults walking in a field with a red cooler","children and adults walking in a field with a pirple cooler","wolfe1","image-088","5"
"a young boy in a blue striped shirt sitting with 4 other boys in a group.","a young boy in a purple striped shirt sitting with 4 other boys in a group.","wolfe1","image-089","1"
"a group of young boys, maybe teens and one young brown boy is wearing a striped t-shirt with blue, white and gray stripes","a group of young, teen boys, 5 sitting together and one of them is wearing a striped t-shirt with purple, whie and gray colors","wolfe1","image-089","2"
"people sitting in a waiting area with one person wearing a blue striped shirt.","people sitting in a wating area with one person wearing a purple striped shirt.","wolfe1","image-089","3"
"five young men sittin in chairs including a young man in a blue and grey striped shirt","five young men sitting in chairs including a young man in a purple and grey striped shirt","wolfe1","image-089","4"
"five boys sitting in a room and one boy's shirt has blue, tan, and white stripes","five boys sitting in a room and one boy's shirt has purple, tan, and white stripes","wolfe1","image-089","5"
"there is an orange room with black seats. in the seats are 5 young men. one of the people in the photo is wearing a blue, grey, and white t-shirt","there is an orange room with black seats. in teh seats are 5 young men. one of men in the photo is wearing a purple, grey, and white t-shirt.","wolfe1","image-089","6"
"a busy street with people walking, including a woman with a red shirt","a busy street with people walking, including a woman with a green shirt","wolfe1","image-090","1"
"a woman in pink is walking down a busy commercial street in front of a large crowd","a woman in green is walking down a busy commercial street in front of  large crowd","wolfe1","image-090","2"
"people walking along a street and a woman in a pink shirt","people walking along a street and a woman in a green shirt","wolfe1","image-090","3"
"there is a very busy street that is lined with tall older looking, but well kept buildings. a lady on the left is wearing  pink shirt","there is a very busy street that is lined with tall, older looking, but well kept buildings. a lady on the left is wearing a green shirt.","wolfe1","image-090","4"
"various people are seaed in outdoor tables, one of them is a woman in a pink jacket","various people are seated in outdoor tables, one of them is a woman in a purple jacket","wolfe1","image-091","1"
"an outdoor area with building, trees, people sitting down and eating, including a woman in red clothing","an outdoor area with building, trees, people sitting down and eating, including a woman in purple clothing","wolfe1","image-091","2"
"people sitting at table in front of an office building outside and a woman with long curly hair and a red dress","people sitting at tables in front of an office building outside and a woman with long curly hair and a purple dress","wolfe1","image-091","3"
"a lady wearing a red dress enjoys lunch with her friend on a plaza.","a woman wearing a purple dress eats lunch with one of her friends.","wolfe1","image-091","4"
"a group of older people exercising, and the woman in the middle is wearing white shoes.","a group of older people exercising, and the woman in the middle is wearing grey shoes.","wolfe1","image-092","1"
"a group exercise event where one of the participants is wearing white shoes","a group exercise event where one of the participants is wearing purple shoes","wolfe1","image-092","2"
"seniors exercising in a rec room with one lady wearing white shoes.","seniors exercising in a rec room with one lady wearing light purple shoes.","wolfe1","image-092","3"
"a group of old people in a movement class with one old woman wearing a white pair of shoes","a group of old people in a movement class with one old woman wearing a pink pair of shoes","wolfe1","image-092","4"
"everyone are exercising in the photo and one lady wearing white color shoe","everyone are exercising in the photo and one lady wearing purple color shoe ","wolfe1","image-092","5"
"a woman in white sneakers exercises with other seniors","a woman in purple sneakers exercises with other seniors","wolfe1","image-092","6"
"several students in a school gym taking part in an exercise class. one student is wearing pink pants.","several students in a school gym taking part in an exercise class, one student is wearing blue pants.","wolfe1","image-093","1"
"kids balancing on one foot in a gym with one girl wearing pink pants.","kids balancing on one foot in a gym with one girl wearing green pants.","wolfe1","image-093","2"
"a group of people on a basketball court with one person wearing a pair of pink pants","a group of people on a basketball court with one person wearing a pair of green pants","wolfe1","image-093","3"
"a girl with pink pants exercises with other kids in a gymnasium","a girl with green pants exercises with other kids in a gymnasium ","wolfe1","image-093","4"
"a girl in white shorts is next to a girl with bare legs doing exercises in a gymnasium","a girl wearing white shorts stands to a girl wearing a green sock in a gym where they are all exercising","wolfe1","image-093","5"
"several kids learning a dance in a school gym. a girl close to the front has on pink pants","several kids leanring a dance in a school gym. a girl close to the front has on green pants","wolfe1","image-093","6"
"the woman has a backback with a blue tag.","the woman has a backpack with a green tag.","wolfe1","image-094","1"
"a girl walks with her friend and her black and blue backpack","a girl walks with her friend and her black and green backpack","wolfe1","image-094","2"
"black backpack with blue tape","black backpack with green tape","wolfe1","image-094","3"
"a man and a woman walking on a campus. the man is carrying a skateboard and a bottle of water. the woman is carrying a backpack with a blue logo","a man and a woman walking on a campus. the man is carrying a skateboard and a bottle of water. the woman is carrying a backpack with a green logo.","wolfe1","image-094","4"
"a backpack with a blue patch on it.","a backpack with a green patch on it.","wolfe1","image-094","5"
"a couple walks down the quad on a college campus, with a woman wearing a backpack with a blue label","a couple walks down the quad on a college campus, with a woman wearing a backpack with a green label","wolfe1","image-094","6"
"students walking with backpacks","students walking with backpacks and a blue decoration on the backpack","wolfe1","image-094","7"
"two college students walking outside. the female student is carrying a black backpack with a blue label.","two college students walking outside. the female student is carrying a black backpack with a green label.","wolfe1","image-094","8"
"a male and female student walking together and her backpack has a blue sticker","a male and female student waking together and her backpack has a green sticker","wolfe1","image-094","9"
"a person hiking a trail passing a flower with red petals","a person hiking a trail passing a flower with yellow petals","wolfe1","image-095","1"
"a bush with red flowers along a trail a hiker is hiking","a bush with yellow flowers along a trail a hiker is hiking","wolfe1","image-095","2"
"there is some red color flowers","there is some yellow color flowers ","wolfe1","image-095","3"
" a hiker on a dusty mountain trail passes red wildflowers on his left","a hiker on a dusty mauntain trail passes yellow wildflowers on his left.","wolfe1","image-095","4"
"a person  hiking with a hiking stick passing by red flower weeds","a person hiking with a hiking stick passing by yellow flower weeds","wolfe1","image-095","5"
"a person hiking along a dirt trail through a green hillside with a red flowering plant to the right","a person hiking along a dirt trail through a green hillside with a yellow flowering plant to the left","wolfe1","image-095","6"
"a man is hiking on a dirt trail with red flowers growing beside it.","a man is hiking on a dirt trail with yellow flowers growing beside it.","wolfe1","image-095","7"
"hiker walking along a trail next to a red flower.","hiker walking along a trail next to a yellow flower.","wolfe1","image-095","8"
"in the classroom there is a blue box under the table","in the classroom there is a green box under the table.","wolfe1","image-096","1"
"looks like people worjing on music in a room with pianos and chairs. there is a stool with something that is blue underneath it","looks like people working on music in a room with pianos and chairs. there is a stool with something green underneath it.","wolfe1","image-096","2"
"a blue cooler sits under a table at a computer room","a green cooler sits under a table at a computer room","wolfe1","image-096","3"
"a group of practicing singers practicing with a blue bin next to the pianist.","a group of singers practicing with a green bin next to the pianist. ","wolfe1","image-096","4"
"a man is leading a music class with a blue cooler bag underneath the table behind him","a man is leading a music class with a green cooler bag underneath the table behind him","wolfe1","image-096","5"
"a music classroom with a teacher, students, and a blue box under a stool.","a music classroom with a teacher, students, and a green box under a stool.","wolfe1","image-096","6"
"a man wearing aqua pants waits at a food stand besides many other people outside.","a man wearing green pants waits at a food stand besides many other people outside.","wolfe1","image-097","1"
"six people one wearing blue pants at  some kind of stand that has a pretty painting on it","six people one wearing green pants at some kind of stand that has a pretty painting on it","wolfe1","image-097","2"
"a man stands at a food stall, his blue pants contrasting against the white side of it.","a man stands at a food stall, his green pants contrasting against the blue side of it","wolfe1","image-097","3"
"food stalls in front of bleachers with one customer wearing mint blue pants.","food stalls in front of bleachers with one customer wearing green pants.","wolfe1","image-097","4"
"a man in green shorts walks to an ancient arch","a man in brown shorts walks to an ancient arch","wolfe1","image-098","1"
"people walking to a  catheral with one person wearing green shorts.","people walking to a  catheral with one person wearing brown shorts.","wolfe1","image-098","2"
"people walking towards an ancient building with one man wearing green shorts","people walking towards an ancient building with one man wearing brown shorts","wolfe1","image-098","3"
"a group of people walking into a building, one guy is wearing green shorts.","a group of people walking into a building, with one guy wearing brown shorts.","wolfe1","image-098","4"
"tourists visiting an asian structure with one man wearing green shorts.","tourists visiting an asian structure with one man wearing brown shorts.","wolfe1","image-098","5"
"a group of people wearing red robes while a man in an orange jacket watches","a group of people wearing red robes while a man in a green jacket watches","wolfe1","image-099","1"
"a group of men in red robes prepares, while onlookers look on, including one in an orange overshirt.","a group of men in red robes prepares, while onlookers look on, including one in a green overshirt.","wolfe1","image-099","2"
"men in pink robes are performing a ritual while a group including a man in an orange jacket watch","men in pink robes are performing a ritaul while a group including a man in a green jacket watch","wolfe1","image-099","3"
"people standing on dirt in traditional indian garb and a man dressed casually with a peach collared shirt","people standing on dirt in traditional indian garb and a man dressed casually with a green collared shirt","wolfe1","image-099","4"
"a large tent is set up on a campground, next to an rv. there is a blue towell on the clothesline next to the tent.","a large tent is set up on a campground, ne to an rv. there is a pink towell on the clothesline next to the tent","wolfe1","image-100","1"
"a campsite with a trailer, tent, red chairs, and 2 red beach towels and 1 blue beach towel hanging on a clothes line","a campsite with a trailer, tent, red chairs, and 3 red beach towels hanging on a clothes line","wolfe1","image-100","2"
"a tent set up in the woods with several red striped towels and one blue stripped towel hanging up. ","a tent set up in the woods with red striped towels hanging up.","wolfe1","image-100","3"
"there is a pop up gazebo in the middle of a camping area. in the background, there are large trees, a camper, and red and blue towels hanging on a line attached to the trees.","there is a pop up gazebo in the middle of a camping area. in the background, there are large trees, a camper, and red towels that are hanging from a line attached to the trees.","wolfe1","image-100","4"
"a group of children play and climb around a swingset, including a young one in a pink shirt.","a group of children play and climb around a swingset, including a young one in an orange shirt.","wolfe1","image-101","1"
"kids enjoying themselves on a swing set. a girl in pink shirt is off to the side watching everyone. ","kids enjoying themselves on a swing set. a girl in a yellow shirt is off to the side watching everyone. ","wolfe1","image-101","2"
"a group of kids playing on a swingset, there is a girl in a pink shirt in the lower right","a group of kids playing on a swingset, there is a girl in an orange shirt in the lower right","wolfe1","image-101","3"
"children playing on a playground with the young girl on the far right wearing a pinkl shirt.","children playing on a playground with the young girl on the far right wearing a orange shirt.","wolfe1","image-101","4"
" a big group of men one wearing a red tie standing in front of maybe a company logo posing for a picture","a big group of men one wearing a purple tie standing in front of maybe a company logo posing for a picture","wolfe1","image-102","1"
"a group of men posing for a picture with the gentleman all the way on the right wearing a bright red tie. ","a group of men posing for a picture with the gentleman all the way on the right wearing a dull red tie. ","wolfe1","image-102","2"
"a man on the end of the front line with a red tie as they pose for a picture","a man on the end of the front line with a pink tie as they pose for a picture","wolfe1","image-102","3"
"a group of well dressed men posing for a picture. the one on the very right has a red tie on","a group of well dressed men posing for a picture. the one on the very right has a purple tie on","wolfe1","image-102","4"
"a man with a red tie poses with a group of men in suits","a man with a purple tie poses with a  group of men in suits","wolfe1","image-102","5"
"a group of men in formal attire. one of the men has a red tie. ","a group of men in formal attire. one of the men is wearing  a brown tie.","wolfe1","image-102","6"
"men posing for a photo in front of a seal with one man in a red tie.","twenty men standing in front of a seal and one man has on a purple tie.","wolfe1","image-102","7"
"people walking in the rain while one person without an umbrella wears green shoes","people walking in the rain while one person without an umbrella wears red shoes","wolfe1","image-103","1"
"a person with green shoes walks with a crowd down a rainy sidewalk","a person with red shoes walks with a crowd down a rainy sidewalk","wolfe1","image-103","2"
"people walking down the street in the rain including a person wearing green shoes","people walking down the street in the rain including a person wearing red shoes","wolfe1","image-103","3"
"people walk across a rainy street holding umbrellas. one person is wearing green shoes.","people walk across a rainy street holding umbrellas. one person is wearing red shoes.","wolfe1","image-103","4"
